0,1
"['sofia.clark@usc.edu', 'elizabeth.brown@usc.edu']","['Monday; Thursday', 'C++', 'Data Science']"
"['grace.walker@usc.edu', 'layla.adams@usc.edu']","['Monday; Thursday', 'JavaScript', 'Data Science']"
"['nathan.moore@usc.edu', 'lily.adams@usc.edu']","['Monday; Wednesday', 'C++', 'Systems Design']"
"['madison.jones@usc.edu', 'ava.king@usc.edu']","['Tuesday; Friday', 'C++', 'Systems Design']"
"['noah.martin@usc.edu', 'charlotte.adams@usc.edu']","['Tuesday; Friday', 'JavaScript', 'Algorithms']"
"['jake.davis@usc.edu', 'grace.walker@usc.edu']","['Wednesday; Friday', 'C++', 'Web Development']"
"['amanda.jones@usc.edu', 'lily.baker@usc.edu']","['Java', 'Wednesday']"
"['lucy.williams@usc.edu', 'max.williams@usc.edu']","['C++', 'Data Science', 'Tuesday']"
"['benjamin.miller@usc.edu', 'george.smith@usc.edu']","['Python', 'Machine Learning', 'Friday']"
"['emily.white@usc.edu', 'david.green@usc.edu']","['JavaScript', 'Friday']"
"['oliver.harris@usc.edu', 'lucas.taylor@usc.edu']","['Python', 'Data Structures', 'Tuesday']"
"['mia.hall@usc.edu', 'olivia.davis@usc.edu']","['Python', 'Systems Design', 'Monday']"
"['matthew.smith@usc.edu', 'mason.hall@usc.edu']","['Java', 'Machine Learning', 'Tuesday']"
"['zoe.morris@usc.edu', 'julia.moore@usc.edu']","['Python', 'Web Development', 'Monday']"
"['aiden.jones@usc.edu', 'isabella.smith@usc.edu']","['Algorithms', 'Thursday']"
"['hannah.moore@usc.edu', 'evan.harris@usc.edu']","['Java', 'Web Development', 'Monday']"
"['ella.hughes@usc.edu', 'thomas.morris@usc.edu']","['C++', 'Friday']"
"['charlotte.king@usc.edu', 'eliza.walker@usc.edu']","['Java', 'Thursday']"
"['jack.brown@usc.edu', 'lucas.brown@usc.edu']","['Python', 'Data Science', 'Friday']"
"['emma.smith@usc.edu', 'jackson.morris@usc.edu']","['Data Structures', 'Wednesday']"
"['lucy.williams@usc.edu', 'riley.smith@usc.edu']","['Python', 'Machine Learning', 'Thursday']"
"['riley.clark@usc.edu', 'emma.davis@usc.edu']","['Data Structures', 'Tuesday']"
"['alex.baker@usc.edu', 'henry.brown@usc.edu']","['Python', 'Algorithms', 'Monday']"
"['hannah.king@usc.edu', 'sophia.baker@usc.edu']",['Wednesday']
"['isla.williams@usc.edu', 'riley.green@usc.edu']","['Web Development', 'Tuesday']"
"['hannah.james@usc.edu', 'jackie.smith@usc.edu', 'lucas.taylor@usc.edu']","['Data Science', 'Monday']"
"['liam.martinez@usc.edu', 'ava.morris@usc.edu', 'rachel.adams@usc.edu']","['Python', 'Tuesday']"
"['sophia.evans@usc.edu', 'ella.green@usc.edu', 'joseph.brown@usc.edu']","['Python', 'Friday']"
"['michael.jordan@usc.edu', 'david.moore@usc.edu', 'harry.williams@usc.edu']","['Web Development', 'Monday']"
"['emily.king@usc.edu', 'sophie.clark@usc.edu', 'grace.taylor@usc.edu']",['Friday']
"['oliver.jones@usc.edu', 'john.martinez@usc.edu', 'ethan.scott@usc.edu']",['Thursday']
"['victoria.hill@usc.edu', 'monday.guy@usc.edu', 'peter.brown@usc.edu']","['Java', 'Monday']"
"['isaac.hughes@usc.edu', 'emilia.king@usc.edu', 'olga.morris@usc.edu']",['Tuesday']
"['abc.fea@usc.edu', 'alphabetso.up@usc.edu', 'feafew.up@usc.edu']","['Python', 'Data Science', 'Friday']"
"['wassss.up@usc.edu', 'olivia.walker@usc.edu', 'gracie.moore@usc.edu']","['Python', 'Friday']"
