Email,Group Size Preference,Availability,Preferred Language,Completed Class
amanda.jones@usc.edu,2,Monday; Wednesday,Java,Data Structures
lucy.williams@usc.edu,2,Tuesday; Thursday,C++,Data Science
benjamin.miller@usc.edu,2,Monday; Friday,Python,Machine Learning
emily.white@usc.edu,2,Tuesday; Friday,JavaScript,Web Development
nathan.moore@usc.edu,2,Monday; Wednesday,C++,Systems Design
lily.baker@usc.edu,2,Wednesday; Friday,Java,Algorithms
oliver.harris@usc.edu,2,Tuesday; Thursday,Python,Data Structures
grace.walker@usc.edu,2,Monday; Thursday,JavaScript,Data Science
jake.davis@usc.edu,2,Wednesday; Friday,C++,Web Development
mia.hall@usc.edu,2,Monday; Tuesday,Python,Systems Design
matthew.smith@usc.edu,2,Tuesday; Friday,Java,Machine Learning
sofia.clark@usc.edu,2,Monday; Thursday,C++,Data Science
david.green@usc.edu,2,Wednesday; Friday,JavaScript,Algorithms
zoe.morris@usc.edu,2,Monday; Friday,Python,Web Development
aiden.jones@usc.edu,2,Tuesday; Thursday,C++,Algorithms
hannah.moore@usc.edu,2,Monday; Wednesday,Java,Web Development
lucas.taylor@usc.edu,2,Tuesday; Friday,Python,Data Structures
ella.hughes@usc.edu,2,Wednesday; Friday,C++,Machine Learning
charlotte.king@usc.edu,2,Monday; Thursday,Java,Data Science
jack.brown@usc.edu,2,Tuesday; Friday,Python,Data Science
lily.adams@usc.edu,2,Monday; Wednesday,C++,Systems Design
emma.smith@usc.edu,2,Wednesday; Friday,JavaScript,Data Structures
lucy.williams@usc.edu,2,Tuesday; Thursday,Python,Machine Learning
thomas.morris@usc.edu,2,Monday; Friday,C++,Data Structures
isabella.smith@usc.edu,2,Tuesday; Thursday,Java,Algorithms
olivia.davis@usc.edu,2,Monday; Wednesday,Python,Systems Design
noah.martin@usc.edu,2,Tuesday; Friday,JavaScript,Algorithms
elizabeth.brown@usc.edu,2,Monday; Thursday,C++,Data Science
george.smith@usc.edu,2,Wednesday; Friday,Python,Machine Learning
evan.harris@usc.edu,2,Monday; Friday,Java,Web Development
riley.clark@usc.edu,2,Tuesday; Thursday,JavaScript,Data Structures
alex.baker@usc.edu,2,Monday; Wednesday,Python,Algorithms
madison.jones@usc.edu,2,Tuesday; Friday,C++,Systems Design
julia.moore@usc.edu,2,Monday; Thursday,Python,Web Development
mason.hall@usc.edu,2,Tuesday; Thursday,Java,Machine Learning
hannah.king@usc.edu,2,Monday; Wednesday,C++,Algorithms
isla.williams@usc.edu,2,Tuesday; Friday,Python,Web Development
layla.adams@usc.edu,2,Monday; Thursday,JavaScript,Data Science
riley.green@usc.edu,2,Tuesday; Friday,C++,Web Development
jackson.morris@usc.edu,2,Monday; Wednesday,Python,Data Structures
eliza.walker@usc.edu,2,Tuesday; Thursday,Java,Systems Design
lucas.brown@usc.edu,2,Monday; Friday,Python,Data Science
max.williams@usc.edu,2,Tuesday; Friday,C++,Data Science
sophia.baker@usc.edu,2,Wednesday; Friday,JavaScript,Machine Learning
henry.brown@usc.edu,2,Monday; Thursday,Python,Algorithms
emma.davis@usc.edu,2,Tuesday; Thursday,Java,Data Structures
grace.walker@usc.edu,2,Wednesday; Friday,C++,Web Development
ella.king@usc.edu,2,Monday; Tuesday,Python,Data Science
